,Country,Sector,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
53,Cambodia,Others,,,,,,,,,,,,,,,,,,,
54,Indonesia,"Agriculture, forestry, and fisheries",,,,,,,,50.0,49.6,48.8,,,,,,,,,
55,Indonesia,Manufacturing,,,,,,,,6.2,6.4,6.4,,,,16.7,,,,,
56,Indonesia,Transportation and communication,,,,,,,,6.5,6.5,6.9,,,,7.3,,,,,
57,Indonesia,Construction,,,,,,,,,,,,,,0.9,,,,,
58,Indonesia,Wholesale and retail trade***,,,,,,,,29.4,29.6,28.8,,,,63.5,,,,,
59,Indonesia,Other services,,,,,,,,6.3,6.4,6.9,,,,10.7,,,,,
60,Indonesia,Others,,,,,,,,1.6,1.6,2.1,,,,0.9,,,,,
61,Laos,"Agriculture, forestry, and fisheries",,,,,,,,,,,,,,,,,,,
62,Laos,Manufacturing,,,,3.4,,,,,,,1.7,,,,,4.9,,1.4,
63,Laos,Transportation and communication,,,,19.1,,,,,,,12.4,,,,,12.4,,14.7,
64,Laos,Construction,,,,3.7,,,,,,,3.1,,,,,3.1,,3.0,
65,Laos,Wholesale and retail trade,,,,0.5,,,,,,,0.5,,,,,0.5,,1.7,
66,Laos,Other services,,,,64.5,,,,,,,62.9,,,,,62.9,,61.2,
67,Laos,Others,,,,8.3,,,,,,,18.9,,,,,12.2,,3.2,
68,,,,,,0.5,,,,,,,0.4,,,,,3.9,,14.8,
